,property_id,lat,lng,addr_street,price,property_type,year,bedrooms,bathrooms,parking_space,suburb,Hospital_id,Distance_to_hospital,Supermarket_id,Distance_to_supermarket,Shopping_center_id,Distance_to_sc,Train_station_id,Distance_to_train_station,Transfer_flag,travel_min_to_CBD
16,773.0,-37.7944,144.883721,28 Stafford Street,8000000.0,house,2015.0,2.0,1.0,1.0,FOOTSCRAY,hospital_056,0.259,S_201,1.442,SC_043,1.956,20023,0.837,0,19.75
17,60837.0,-37.842432,145.193244,57 Nurlendi Road,9144000.0,house,2015.0,4.0,2.0,2.0,VERMONT,hospital_192,2.956,S_202,2.548,SC_088,2.839,19900,2.721,0,39.905
18,54585.0,-37.823505,145.023843,5\/48 Morang Road,9889000.0,house,2015.0,3.0,2.0,2.0,HAWTHORN,hospital_086,0.775,S_208,1.095,SC_083,1.087,19905,0.205,0,18.933
19,81460.0,-37.976127,145.198766,7 Corvi Court,5632000.0,house,2010.0,3.0,1.0,1.0,DANDENONG,hospital_018,1.138,S_183,1.521,SC_112,1.88,19889,0.672,0,51.333
20,86163.0,-37.91454315,144.9929199,14B Well Street,26180000.0,house,2009.0,3.0,2.0,2.0,BRIGHTON,hospital_156,0.331,S_150,0.153,SC_046,4.861,19951,0.304,0,22.083
21,66331.0,-37.776393,145.339611,4 Blueridge Drive,8697000.0,house,2012.0,4.0,2.0,2.0,MOOROOLBARK,hospital_113,2.088,S_081,2.03,SC_084,3.038,19876,2.431,0,61.0
22,67234.0,-37.765636,145.371077,22 Grand View Grove,12155000.0,house,2014.0,4.0,3.0,2.0,LILYDALE,hospital_113,1.49,S_081,1.996,SC_084,5.097,19876,2.345,0,61.0
23,32301.0,-37.749865,145.008404,213 Raglan Street,9680000.0,house,2014.0,3.0,1.0,1.0,PRESTON,hospital_035,1.453,S_105,0.441,SC_103,1.278,20013,0.87,0,25.182
24,78822.0,-37.95853043,145.1600342,21 Burrapike Avenue,3910000.0,house,2006.0,3.0,1.0,0.0,SPRINGVALE,hospital_124,2.129,S_075,0.929,SC_057,3.981,19891,0.333,0,46.278
25,88599.0,-37.949151,145.047049,2 Rowans Road,3825000.0,house,2016.0,3.0,1.0,3.0,HIGHETT,hospital_082,1.523,S_069,0.525,SC_079,0.525,19872,0.462,0,42.889
26,90793.0,-37.95908,145.048889,50 Tulip Grove,5096000.0,house,2012.0,3.0,1.0,2.0,CHELTENHAM,hospital_082,0.711,S_023,0.61,SC_079,1.303,19866,0.979,0,37.353
27,42059.0,-37.768011,145.052349,3\/110 Maltravers Road,16080000.0,house,2016.0,3.0,1.0,1.0,EAGLEMONT,hospital_046,1.306,S_219,0.936,SC_001,0.929,19934,0.512,0,25.083
28,62065.0,-37.798508,145.24384,5 Ronald Street,11492000.0,house,2014.0,3.0,2.0,2.0,RINGWOOD,hospital_105,1.408,S_157,0.999,SC_032,2.064,19879,1.599,0,47.0
29,70841.0,-37.87879944,145.0974884,6 Crana Court,7425000.0,house,2008.0,3.0,1.0,0.0,CHADSTONE,hospital_098,1.986,S_112,1.414,SC_042,0.55,19839,0.774,0,26.0
30,49437.0,-37.809921,145.087332,35 Yarrbat Avenue,32250000.0,house,2012.0,3.0,2.0,2.0,BALWYN,hospital_117,2.557,S_136,1.415,SC_099,3.035,19894,1.605,0,30.778
31,60455.0,-37.839282,145.195761,13 Karwitha Street,16490000.0,house,2016.0,3.0,2.0,1.0,VERMONT,hospital_008,2.955,S_202,2.425,SC_088,2.638,19900,2.391,0,39.905
32,14549.0,-37.756283,144.899662,5 Knight Street,14850000.0,house,2010.0,4.0,1.0,1.0,ABERFELDIE,hospital_184,1.628,S_197,1.617,SC_085,2.115,20037,1.456,0,20.857
33,65196.0,-37.803187,145.306965,1a Browning Street,7560000.0,house,2016.0,3.0,2.0,2.0,KILSYTH,hospital_164,4.547,S_224,0.32,SC_022,2.15,19877,2.107,0,55.25
34,32419.0,-37.730327,145.009188,250 Tyler Street,9790000.0,house,2016.0,3.0,1.0,1.0,PRESTON,hospital_139,1.726,S_085,0.941,SC_103,1.212,20011,0.604,0,29.182
35,96771.0,-38.001901,145.255194,34 Carlisle Road,7565000.0,house,2011.0,4.0,2.0,2.0,HALLAM,hospital_119,3.686,S_212,0.971,SC_077,0.706,19885,2.178,0,59.286
36,2948.0,-37.82014,144.893952,173 Stephen Street,13950000.0,house,2013.0,5.0,1.0,2.0,YARRAVILLE,hospital_056,3.083,S_201,2.188,SC_043,4.103,19996,0.594,0,15.3
37,32277.0,-37.744277,145.018839,21 Belgrove Street,9180000.0,house,2010.0,3.0,1.0,2.0,PRESTON,hospital_035,2.289,S_105,1.537,SC_047,1.195,20013,1.651,0,25.182
38,81070.0,-37.977881,145.19925,26 Lexton Avenue,6460000.0,house,2012.0,3.0,1.0,1.0,DANDENONG,hospital_018,1.335,S_183,1.397,SC_112,1.725,19889,0.673,0,51.333
39,93420.0,-38.020203,145.098574,4a Retreat Avenue,9048000.0,house,2014.0,3.0,2.0,1.0,ASPENDALE,hospital_001,3.992,S_119,1.707,SC_003,5.526,19862,0.842,0,46.769
40,48350.0,-37.797612,145.0260731,36 Park Avenue,21600000.0,house,2011.0,4.0,2.0,2.0,KEW,hospital_029,0.928,S_039,1.002,SC_083,2.678,19931,2.187,0,20.083
41,4347.0,-37.845015,144.867274,3\/199 Woods Street,7800000.0,house,2015.0,3.0,2.0,2.0,NEWPORT,hospital_141,2.881,S_056,2.122,SC_033,2.724,19994,1.458,0,20.474
42,50646.0,-37.754244,145.128673,93 Atkinson Street,9000000.0,house,2014.0,3.0,2.0,2.0,TEMPLESTOWE,hospital_193,2.415,S_046,2.509,SC_009,3.475,19986,4.381,0,40.286
43,2172.0,-37.778514,144.88184,33 Fisher Street,7020000.0,house,2013.0,3.0,1.0,2.0,MAIDSTONE,hospital_003,1.656,S_049,0.879,SC_052,0.727,20027,2.463,1,0.0
44,48266.0,-37.79947,145.029567,3 Wills Street,2365000.0,house,2016.0,2.0,1.0,2.0,KEW,hospital_029,1.221,S_039,0.71,SC_083,2.397,19931,2.351,0,20.083
45,81592.0,-37.9982297,145.1982815,LOT\/321 Willum Way,4400000.0,house,2013.0,1.0,1.0,1.0,DANDENONG,hospital_119,2.328,S_184,2.024,SC_117,1.874,19888,1.361,0,54.312
46,42567.0,-37.73907,145.062638,72 Grandview Grove,16050000.0,house,2011.0,3.0,1.0,2.0,ROSANNA,hospital_090,1.537,S_100,2.294,SC_017,1.929,19936,0.524,0,28.0
47,54967.0,-37.836342,145.088949,12 Mabel Street,17000000.0,house,2010.0,4.0,3.0,2.0,CAMBERWELL,hospital_089,2.391,S_160,1.585,SC_099,3.028,19894,1.341,0,30.778
48,7228.0,-37.73634338,144.8317261,149 Rowan Drive,5100000.0,house,2008.0,3.0,2.0,2.0,KEALBA,hospital_005,3.052,S_222,2.607,SC_107,2.367,20002,2.945,0,33.0
49,49590.0,-37.811203,145.0879517,5\/22 Brenbeal Street,8352000.0,house,2009.0,3.0,1.0,1.0,BALWYN,hospital_117,2.491,S_136,1.438,SC_099,3.01,19894,1.459,0,30.778
50,26072.0,-37.58766556,144.9225922,24 Bradworth Street,2088000.0,house,2009.0,3.0,1.0,1.0,CRAIGIEBURN,hospital_104,7.019,S_178,1.229,SC_016,0.966,40221,2.413,0,45.889
51,62230.0,-37.796642,145.240307,7 Graeme Avenue,7969000.0,house,2010.0,4.0,2.0,1.0,RINGWOOD,hospital_105,1.632,S_157,1.301,SC_032,2.059,19879,1.915,0,47.0
52,80428.0,-37.985802,145.169632,63 Kingsclere Avenue,4056000.0,house,2012.0,3.0,1.0,0.0,KEYSBOROUGH,hospital_096,0.88,S_079,0.846,SC_057,0.836,19889,2.103,0,51.333
53,67021.0,-37.775305,145.344374,139 Lakeview Drive,4880000.0,house,2010.0,4.0,2.0,2.0,LILYDALE,hospital_113,1.744,S_081,1.77,SC_084,3.29,19876,2.222,0,61.0
54,74966.0,-37.894505,145.061794,3 Gnarwyn Rd,16235000.0,house,2016.0,2.0,1.0,1.0,CARNEGIE,hospital_108,3.051,S_015,0.895,SC_041,1.12,19919,0.686,0,30.238
55,14376.0,-37.747361,144.905643,37A Spencer Street,16800000.0,house,2014.0,4.0,2.0,1.0,ESSENDON,hospital_184,0.566,S_197,0.529,SC_082,1.489,20037,1.338,0,20.857
56,5744.0,-37.781097,144.848102,36 Burnett Avenue,5614000.0,house,2012.0,2.0,1.0,3.0,BRAYBROOK,hospital_174,1.422,S_080,1.322,SC_102,1.286,20021,1.575,0,25.733
57,91573.0,-37.991995,145.036247,34 Reid Street,10740000.0,house,2012.0,3.0,2.0,2.0,BEAUMARIS,hospital_055,1.927,S_011,2.574,SC_079,4.79,19865,2.776,0,39.688
58,29901.0,-37.77097,144.996715,30 Claude Street,7040000.0,house,2011.0,2.0,1.0,0.0,NORTHCOTE,hospital_035,1.328,S_105,2.297,SC_103,3.524,20016,0.176,0,20.167
59,31283.0,-37.753221,144.98963,47 Rennie Street,9280000.0,house,2015.0,4.0,2.0,1.0,THORNBURY,hospital_144,1.611,S_105,1.255,SC_103,1.866,20014,0.813,0,23.182
60,16768.0,-37.709836,144.935562,20 Caldwell Street,6494000.0,house,2015.0,2.0,1.0,1.0,GLENROY,hospital_184,4.502,S_004,0.42,SC_030,2.821,20033,1.531,0,30.846
61,20270.0,-37.766783,144.964959,1 Burchett Street,13245000.0,house,2014.0,3.0,1.0,2.0,BRUNSWICK,hospital_144,1.295,S_074,0.551,SC_030,4.043,19968,0.484,0,21.0
62,42495.0,-37.729057,145.102709,653 Lower Plenty Road,7140000.0,house,2012.0,3.0,2.0,1.0,VIEWBANK,hospital_075,2.678,S_020,2.722,SC_009,4.183,19986,2.256,0,40.286
63,55819.0,-37.825075,145.058873,6 Broadway,5814000.0,house,2010.0,4.0,2.0,3.0,CAMBERWELL,hospital_064,2.047,S_113,0.455,SC_099,0.11,19853,0.167,0,24.3
64,37827.0,-37.62719,145.031882,9 Cascade Crescent,3872000.0,house,2009.0,3.0,2.0,2.0,EPPING,hospital_053,3.035,S_196,2.274,SC_062,5.456,20005,2.809,0,43.333
65,72253.0,-37.84903336,145.2593689,27 Yarran Grove,2640000.0,house,2008.0,3.0,1.0,0.0,BAYSWATER,hospital_002,1.055,S_139,0.945,SC_032,4.85,19870,1.12,0,50.0
66,81615.0,-37.982164,145.23801,1 Privet Court,7600000.0,house,2016.0,4.0,1.0,2.0,DOVETON,hospital_119,1.703,S_195,1.811,SC_112,2.086,19888,2.629,0,54.312
67,47114.0,-37.69337845,145.1639557,38 Wombat Drive,11400000.0,house,2009.0,4.0,2.0,2.0,ELTHAM,hospital_075,5.281,S_187,2.225,SC_051,2.225,19988,2.286,0,48.667
68,55429.0,-37.84110641,145.0732422,29 Culliton Road,10681000.0,house,2009.0,3.0,1.0,0.0,CAMBERWELL,hospital_168,1.697,S_160,0.708,SC_099,2.295,19850,0.38,0,32.0
69,63362.0,-37.796989,145.302422,10 View Street,6525000.0,house,2016.0,2.0,1.0,0.0,CROYDON,hospital_164,4.29,S_224,0.903,SC_022,1.717,19877,1.621,0,55.25
70,43647.0,-37.70036316,145.0886536,27 Huntley  St,6192000.0,house,2008.0,3.0,1.0,1.0,WATSONIA NORTH,hospital_075,1.606,S_020,1.115,SC_062,5.427,19984,1.255,0,34.091
71,66051.0,-37.76919556,145.3145294,234 Manchester Road,6050000.0,house,2008.0,3.0,2.0,0.0,MOOROOLBARK,hospital_113,3.633,S_168,1.184,SC_084,1.231,19877,1.741,0,55.25
72,18412.0,-37.670275,144.936122,20 Drouin Street,3348000.0,house,2013.0,3.0,1.0,2.0,DALLAS,hospital_104,2.582,S_153,1.544,SC_072,2.495,19960,1.046,0,39.0
73,7159.0,-37.74762344,144.7717285,1\/47 Appian Drive,2150000.0,house,2008.0,3.0,1.0,1.0,ALBANVALE,hospital_057,4.028,S_070,0.383,SC_048,3.121,20002,2.512,0,33.0
74,34707.0,-37.699512,145.033813,33 Gertz Avenue,9225000.0,house,2011.0,4.0,3.0,2.0,RESERVOIR,hospital_037,2.082,S_155,1.856,SC_047,4.356,20008,1.999,0,36.3
75,52950.0,-37.814697,144.991194,3 Jika Place,12460000.0,house,2014.0,3.0,3.0,1.0,RICHMOND,hospital_173,0.364,S_076,0.686,SC_068,1.686,19978,0.035,0,6.812
76,36205.0,-37.67020798,145.0359955,165 Darebin Dr,3710000.0,house,2007.0,3.0,1.0,2.0,LALOR,hospital_053,2.693,S_229,1.454,SC_062,4.826,20006,1.726,0,40.3
77,71818.0,-37.859046,145.226963,8 Labuan Place,11160000.0,house,2015.0,5.0,3.0,2.0,WANTIRNA,hospital_008,1.066,S_226,1.043,SC_032,5.156,19871,3.753,0,46.0
78,19977.0,-37.79651,144.955211,60 Story Street,27000000.0,house,2014.0,3.0,2.0,1.0,PARKVILLE,hospital_197,0.258,S_044,1.664,SC_007,1.923,19973,1.625,0,9.1
79,79981.0,-38.002044,145.160922,25 Peppertree Street,6524000.0,house,2012.0,3.0,2.0,2.0,KEYSBOROUGH,hospital_096,1.288,S_079,1.422,SC_057,1.504,19889,3.776,0,51.333
80,87092.0,-37.914396,145.004093,77 Halifax Street,13000000.0,house,2012.0,3.0,1.0,2.0,BRIGHTON,hospital_156,1.139,S_009,0.74,SC_046,4.105,19951,0.689,0,22.083
81,87077.0,-37.921218,145.005352,739B Hampton Street,7040000.0,house,2016.0,4.0,3.0,2.0,BRIGHTON,hospital_156,1.604,S_009,1.071,SC_046,3.54,19951,1.044,0,22.083
82,73036.0,-37.868232,145.285899,162 Dorset Road,7448000.0,house,2015.0,3.0,2.0,2.0,BORONIA,hospital_049,0.687,S_146,0.694,SC_049,3.513,19869,0.876,0,53.143
83,3932.0,-37.82094193,144.8927002,8B Newcastle Street,5775000.0,house,2007.0,2.0,1.0,1.0,YARRAVILLE,hospital_056,3.148,S_201,2.296,SC_033,4.09,19996,0.617,0,15.3
84,27387.0,-37.595674,144.912783,6 Healesville Loop,2853000.0,house,2014.0,3.0,1.0,2.0,CRAIGIEBURN,hospital_104,6.162,S_178,1.881,SC_016,0.325,40221,2.779,0,45.889
85,36106.0,-37.668542,145.023157,10 Prince Andrew Ave,4144000.0,house,2015.0,5.0,1.0,3.0,LALOR,hospital_053,1.978,S_229,0.327,SC_062,5.806,20006,0.605,0,40.3
86,73236.0,-37.866738,145.266834,20 Benbow Crescent,9392000.0,house,2016.0,3.0,1.0,1.0,BORONIA,hospital_002,1.26,S_024,1.658,SC_049,4.767,19869,1.694,0,53.143
87,48850.0,-37.79870224,145.04245,99 Gladstone Street,6360000.0,house,2009.0,2.0,1.0,2.0,KEW,hospital_064,1.226,S_039,1.283,SC_083,2.497,19931,2.466,0,20.083
88,26508.0,-37.604855,144.925219,31 Pembroke Crescent,2970000.0,house,2012.0,3.0,2.0,1.0,CRAIGIEBURN,hospital_104,5.121,S_005,1.412,SC_110,1.489,40221,1.632,0,45.889
89,38103.0,-37.772987,145.02052,203 Arthur Street,14620000.0,house,2014.0,3.0,1.0,0.0,FAIRFIELD,hospital_039,1.4,S_219,1.939,SC_001,1.955,19930,0.758,0,18.083
90,41929.0,-37.74414,145.076367,25 Haughton Parade,13440000.0,house,2011.0,5.0,2.0,2.0,ROSANNA,hospital_066,1.783,S_100,1.812,SC_017,1.466,19936,0.911,0,28.0
91,9656.0,-37.8629763,144.7227029,78 Verdant Road,3048000.0,house,2012.0,4.0,2.0,2.0,TRUGANINA,hospital_073,4.106,S_007,1.84,SC_053,2.183,46468,2.306,0,32.778
92,74276.0,-37.881123,145.026189,1B Webb Street,5490000.0,house,2010.0,4.0,2.0,2.0,CAULFIELD,hospital_080,0.991,S_166,0.322,SC_023,1.564,19943,1.492,0,23.512
93,2188.0,-37.789884,144.875649,35 Albert Facey Street,6000000.0,house,2014.0,3.0,2.0,1.0,MAIDSTONE,hospital_056,0.996,S_149,1.313,SC_043,1.313,20022,1.528,0,21.75
94,22951.0,-37.748414,144.951981,53 Hawthorn Street,10836000.0,house,2016.0,2.0,1.0,1.0,COBURG,hospital_084,0.848,S_172,1.388,SC_030,1.789,19966,1.099,0,26.0
95,62389.0,-37.788845,145.253697,9 Mundara Drive,10016000.0,house,2014.0,4.0,2.0,2.0,RINGWOOD,hospital_164,2.112,S_157,0.939,SC_022,2.825,19878,2.478,0,51.25
96,42743.0,-37.72443008,145.0784149,1\/17 Strathallan Road,3978000.0,house,2008.0,3.0,1.0,1.0,MACLEOD,hospital_037,3.135,S_020,2.909,SC_017,3.595,19983,0.835,0,31.0
97,20970.0,-37.760075,144.954909,298 Albion Street,9350000.0,house,2014.0,3.0,2.0,2.0,BRUNSWICK,hospital_011,0.679,S_074,1.172,SC_030,3.109,19967,0.525,0,23.0
98,72349.0,-37.848068,145.263796,39 Orange  Grove,8767000.0,house,2016.0,3.0,2.0,2.0,BAYSWATER,hospital_002,0.91,S_139,0.629,SC_032,4.991,19870,0.802,0,50.0
99,4751.0,-37.839345,144.865307,9A Charlotte Street,12240000.0,house,2013.0,3.0,3.0,2.0,NEWPORT,hospital_141,3.451,S_056,1.716,SC_033,2.156,19994,1.651,0,20.474
100,10545.0,-37.7854223,144.9219045,42 Ascot Vale Road,7252000.0,house,2013.0,2.0,1.0,1.0,FLEMINGTON,hospital_007,1.221,S_086,0.561,SC_011,0.61,20040,0.657,0,14.857
101,62575.0,-37.830836,145.260414,15 Miller Road,11543000.0,house,2010.0,3.0,2.0,2.0,HEATHMONT,hospital_164,2.604,S_139,1.466,SC_032,3.431,19870,1.39,0,50.0
102,3894.0,-37.81493759,144.8705139,8 Sanderson Street,6516000.0,house,2009.0,3.0,1.0,0.0,YARRAVILLE,hospital_056,2.792,S_149,2.497,SC_033,2.464,19996,1.711,0,15.3
103,91644.0,-37.982388,145.051626,41 Bonanza Road,11800000.0,house,2015.0,5.0,2.0,2.0,BEAUMARIS,hospital_055,0.271,S_011,0.952,SC_003,3.516,19865,1.189,0,39.688
104,74620.0,-37.89935303,145.070755,15 Katrina Avenue,8640000.0,house,2009.0,3.0,1.0,3.0,MURRUMBEENA,hospital_159,2.561,S_167,1.545,SC_087,1.545,19918,0.783,0,32.2
105,14496.0,-37.744294,144.90555,46 Market Street,11410000.0,house,2010.0,4.0,1.0,2.0,ESSENDON,hospital_184,0.226,S_197,0.433,SC_082,1.148,20036,1.393,0,23.846
106,62878.0,-37.82240677,145.2480164,35 Alvena Crescent,6300000.0,house,2009.0,3.0,1.0,1.0,HEATHMONT,hospital_105,1.328,S_190,1.961,SC_032,2.001,19871,0.725,0,46.0
107,85541.0,-37.894397,145.007883,33 College Street,15520000.0,house,2013.0,2.0,1.0,2.0,ELSTERNWICK,hospital_013,0.514,S_193,0.84,SC_023,3.681,19953,0.415,0,19.083
108,16395.0,-37.69936752,144.9407196,119 Morell Street,3650000.0,house,2009.0,2.0,1.0,2.0,GLENROY,hospital_139,5.441,S_004,0.87,SC_030,3.77,19961,1.606,0,35.0
109,47216.0,-37.695088,145.157718,46 Dandallo Drive,8983000.0,house,2013.0,5.0,2.0,2.0,ELTHAM,hospital_075,4.702,S_194,2.217,SC_051,2.391,19987,2.232,0,44.333
110,46459.0,-37.731062,145.136582,11 Walsh Street,4015000.0,house,2013.0,3.0,1.0,1.0,ELTHAM,hospital_075,3.956,S_194,2.599,SC_009,5.503,19987,2.186,0,44.333
111,70914.0,-37.888572,145.104417,9 Hillcrest Avenue,7776000.0,house,2010.0,3.0,1.0,1.0,CHADSTONE,hospital_166,1.197,S_026,1.763,SC_042,1.688,19840,1.797,0,28.0
112,58349.0,-37.822158,145.146307,8 Laurel Grove,22780000.0,house,2013.0,3.0,2.0,2.0,BLACKBURN,hospital_060,1.478,S_018,1.035,SC_037,2.128,19898,0.4,0,35.04
113,23543.0,-37.64112473,144.8903351,28 Simmington Circuit,5580000.0,house,2009.0,4.0,2.0,2.0,GREENVALE,hospital_104,2.858,S_211,0.759,SC_075,0.759,44817,3.848,0,39.9
114,92742.0,-38.019007,145.099972,15 Inlet Street,12801000.0,house,2012.0,3.0,1.0,2.0,ASPENDALE,hospital_001,3.956,S_119,1.686,SC_003,5.415,19862,0.934,0,46.769
115,76227.0,-37.89653,145.082142,44 Willesden Road,12545000.0,house,2016.0,3.0,2.0,2.0,HUGHESDALE,hospital_166,2.115,S_167,0.904,SC_087,0.904,19918,0.436,0,32.2
116,71119.0,-37.84626007,145.2298279,13 Rachelle Drive,4070000.0,house,2009.0,3.0,2.0,0.0,WANTIRNA,hospital_179,0.408,S_226,2.437,SC_032,3.731,19871,2.38,0,46.0
117,84156.0,-37.848609,144.988121,55 Greville Street,22800000.0,house,2014.0,4.0,2.0,1.0,PRAHRAN,hospital_155,0.294,S_115,1.508,SC_066,0.501,19958,0.183,0,9.0
118,37478.0,-37.648689,145.039094,5 Aldous Court,6944000.0,house,2015.0,4.0,2.0,1.0,EPPING,hospital_053,2.018,S_229,2.643,SC_062,4.104,20005,0.892,0,43.333
119,21922.0,-37.7366,144.971697,13 Farm Road,4320000.0,house,2011.0,3.0,2.0,2.0,COBURG,hospital_144,2.213,S_172,0.801,SC_030,1.956,19964,0.852,0,30.0
120,15440.0,-37.725515,144.916847,66 Mascoma Street,3040000.0,house,2010.0,3.0,1.0,1.0,STRATHMORE,hospital_184,2.137,S_198,1.88,SC_082,1.369,20033,0.937,0,30.846
121,63903.0,-37.776751,145.297831,20 Scurry Drive,9900000.0,house,2015.0,4.0,3.0,3.0,CROYDON,hospital_164,5.072,S_058,2.534,SC_084,2.509,19877,1.561,0,55.25
122,54695.0,-37.81567383,145.0387878,7 Salisbury Grove,10100000.0,house,2009.0,4.0,2.0,0.0,HAWTHORN,hospital_086,0.804,S_208,0.56,SC_083,0.603,19904,0.677,0,20.737
123,25710.0,-37.584641,144.93606,18 Olympic Way,3200000.0,house,2013.0,4.0,2.0,2.0,CRAIGIEBURN,hospital_104,7.481,S_178,1.058,SC_110,1.543,40221,2.016,0,45.889
124,74215.0,-37.882265,145.033052,10 Maxwell Grove,21300000.0,house,2011.0,4.0,3.0,2.0,CAULFIELD,hospital_080,1.55,S_166,0.599,SC_023,1.095,19943,0.989,0,23.512
125,28064.0,-37.795409,144.980068,117 Leicester Street,13080000.0,house,2011.0,2.0,2.0,2.0,FITZROY,hospital_188,1.364,S_200,0.354,SC_008,2.039,19975,1.332,0,10.867
126,29569.0,-37.770579,145.00792,170 Separation Street,8000000.0,house,2015.0,2.0,1.0,1.0,NORTHCOTE,hospital_035,0.854,S_105,2.204,SC_001,2.995,19929,0.959,0,16.083
127,76868.0,-37.918999,145.118538,47 Thompson Street,14400000.0,house,2016.0,3.0,1.0,1.0,CLAYTON,hospital_077,0.176,S_169,0.773,SC_087,4.703,19915,0.657,0,39.211
128,41542.0,-37.736697,145.061519,122 Mountain View Parade,10000000.0,house,2015.0,3.0,2.0,1.0,ROSANNA,hospital_090,1.599,S_100,2.574,SC_017,2.21,19936,0.799,0,28.0
129,30017.0,-37.778569,145.012485,384 Clarke Street,6435000.0,house,2011.0,2.0,1.0,1.0,NORTHCOTE,hospital_029,1.573,S_219,2.817,SC_001,2.838,19929,0.38,0,16.083
130,47888.0,-37.812011,145.046536,14 Davis Street,18700000.0,house,2015.0,4.0,2.0,2.0,KEW,hospital_064,0.401,S_208,1.316,SC_083,1.346,19903,1.158,0,23.0
131,39905.0,-37.713327,145.037479,19 The Fairway,3942000.0,house,2016.0,3.0,2.0,1.0,KINGSBURY,hospital_025,0.645,S_225,1.502,SC_047,2.878,20009,2.536,0,33.3
132,57247.0,-37.826357,145.071962,31 Myrtle Road,22560000.0,house,2011.0,3.0,2.0,2.0,CANTERBURY,hospital_168,2.647,S_160,0.966,SC_099,1.245,19892,0.336,0,26.7
133,33384.0,-37.698611,145.026721,1 Roff Street,6560000.0,house,2014.0,3.0,1.0,1.0,RESERVOIR,hospital_025,2.505,S_155,2.478,SC_047,4.457,20008,1.372,0,36.3
134,35009.0,-37.698948,145.024186,46 Elinda Place,4140000.0,house,2014.0,3.0,1.0,1.0,RESERVOIR,hospital_025,2.612,S_155,2.702,SC_047,4.441,20008,1.175,0,36.3
135,1647.0,-37.80851746,144.8835907,103 Queensville Street,7084000.0,house,2008.0,3.0,1.0,1.0,KINGSVILLE,hospital_056,1.728,S_201,1.535,SC_043,2.551,20023,0.762,0,19.75
